line,label
[javac] File327.java:104: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File383.java:191: error: incompatible types: double cannot be converted to int,1
[javac] File196.java:466: error: package org.unknown does not exist,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/5.15/pkg-12.19.jar,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/11.31/pkg-2.80.jar,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/9.51/pkg-1.43.jar,0
[ERROR] Build failed with exit code 43,1
[javac] File337.java:299: error: missing return statement,1
[javac] File460.java:50: error: incompatible types: double cannot be converted to int,1
[javac] File98.java:361: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-09T20:32:15+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/16.53/pkg-9.30.jar,0
[INFO] Total time:  0.497 s,0
[javac] File482.java:836: error: incompatible types: double cannot be converted to int,1
[javac] File192.java:722: error: missing return statement,1
[javac] File472.java:222: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File176.java:928: error: cannot access class com.example.Helper,1
[javac] File129.java:244: error: cannot find symbol,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/17.93/pkg-6.98.jar,0
[javac] File31.java:221: error: cannot access class com.example.Helper,1
[javac] File282.java:725: error: package org.unknown does not exist,1
[javac] File409.java:856: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File134.java:401: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  9.004 s,0
[javac] File389.java:355: error: missing return statement,1
[javac] File363.java:356: error: illegal start of type,1
[ERROR] Build failed with exit code 181,1
[INFO] Finished at: 2025-04-06T23:36:31+05:30,0
[javac] File370.java:484: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File318.java:428: error: cannot access class com.example.Helper,1
[INFO] Total time:  4.984 s,0
[javac] File452.java:301: error: cannot find symbol,1
[ERROR] Build failed with exit code 238,1
[javac] File309.java:84: error: cannot find symbol,1
[javac] File100.java:315: error: illegal start of type,1
[javac] File279.java:505: error: package org.unknown does not exist,1
[javac] File465.java:788: error: cannot find symbol,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/12.82/pkg-15.34.jar,0
[javac] File148.java:96: error: incompatible types: double cannot be converted to int,1
[javac] File291.java:697: error: illegal start of type,1
[INFO] Total time:  10.072 s,0
[javac] File273.java:89: error: cannot find symbol,1
[INFO] Finished at: 2025-04-02T18:33:07+05:30,0
[INFO] Total time:  19.144 s,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/20.1/pkg-16.89.jar,0
[INFO] Finished at: 2025-04-11T22:13:02+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/18.17/pkg-5.88.jar,0
[javac] File274.java:651: error: illegal start of type,1
[javac] File391.java:938: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  0.484 s,0
[INFO] Finished at: 2025-04-13T14:11:15+05:30,0
[INFO] Total time:  11.429 s,0
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/16.81/pkg-4.37.jar,0
[javac] File328.java:251: error: missing return statement,1
[javac] File291.java:953: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-02T16:28:27+05:30,0
[INFO] Finished at: 2025-04-03T10:33:20+05:30,0
[INFO] Finished at: 2025-04-16T06:29:01+05:30,0
[INFO] Total time:  18.026 s,0
[INFO] Finished at: 2025-04-17T19:43:56+05:30,0
[INFO] Finished at: 2025-04-08T09:22:30+05:30,0
[INFO] Total time:  12.178 s,0
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/1.96/pkg-3.77.jar,0
[INFO] Finished at: 2025-04-10T07:40:47+05:30,0
[INFO] Total time:  0.722 s,0
[javac] File274.java:315: error: cannot find symbol,1
[INFO] Finished at: 2025-04-12T19:54:15+05:30,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/4.52/pkg-19.28.jar,0
[INFO] Total time:  19.673 s,0
[ERROR] Build failed with exit code 251,1
[javac] File447.java:911: error: illegal start of type,1
[INFO] Total time:  10.750 s,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/16.83/pkg-13.59.jar,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/12.76/pkg-5.72.jar,0
[javac] File97.java:232: error: missing return statement,1
[javac] File406.java:22: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-12T01:09:06+05:30,0
[javac] File419.java:722: error: missing return statement,1
[javac] File410.java:70: error: missing return statement,1
[javac] File219.java:9: error: incompatible types: double cannot be converted to int,1
[INFO] Total time:  17.419 s,0
[javac] File197.java:769: error: incompatible types: double cannot be converted to int,1
[javac] File18.java:4: error: incompatible types: double cannot be converted to int,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/20.40/pkg-18.91.jar,0
[ERROR] Build failed with exit code 79,1
[INFO] Total time:  9.759 s,0
[javac] File490.java:86: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/4.81/pkg-17.92.jar,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/14.95/pkg-1.52.jar,0
[javac] File300.java:231: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-03T08:20:05+05:30,0
[INFO] Total time:  5.592 s,0
[INFO] Finished at: 2025-04-14T06:37:00+05:30,0
[javac] File134.java:600: error: package org.unknown does not exist,1
[ERROR] Build failed with exit code 229,1
[INFO] Finished at: 2025-04-08T10:31:13+05:30,0
[INFO] Finished at: 2025-04-03T22:41:26+05:30,0
[javac] File223.java:492: error: illegal start of type,1
[javac] File207.java:627: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Finished at: 2025-04-06T12:17:40+05:30,0
[INFO] Total time:  9.742 s,0
[INFO] Total time:  8.838 s,0
[INFO] Total time:  3.243 s,0
[javac] File129.java:897: error: illegal start of type,1
[javac] File127.java:210: error: cannot find symbol,1
[ERROR] Build failed with exit code 48,1
[INFO] Total time:  12.636 s,0
[INFO] Finished at: 2025-04-04T12:06:52+05:30,0
[INFO] Finished at: 2025-04-05T07:21:49+05:30,0
[javac] File34.java:434: error: package org.unknown does not exist,1
[javac] File35.java:986: error: cannot access class com.example.Helper,1
[javac] File106.java:666: error: cannot find symbol,1
[INFO] Finished at: 2025-04-04T16:47:02+05:30,0
[WARNING] Starting process 'compile',0
[INFO] Finished at: 2025-04-10T16:54:45+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/19.79/pkg-19.30.jar,0
[javac] File32.java:289: error: cannot find symbol,1
[INFO] Finished at: 2025-04-14T02:45:33+05:30,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/1.16/pkg-2.69.jar,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/14.35/pkg-2.94.jar,0
"Exception in thread ""main"" java.lang.IllegalStateException: someDetailHere",1
[javac] File176.java:736: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-08T08:28:29+05:30,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/7.53/pkg-19.2.jar,0
[javac] File255.java:826: error: incompatible types: double cannot be converted to int,1
[INFO] Total time:  5.628 s,0
[javac] File94.java:702: error: cannot access class com.example.Helper,1
[INFO] Total time:  16.549 s,0
[javac] File300.java:355: error: incompatible types: double cannot be converted to int,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/16.25/pkg-7.69.jar,0
[javac] File67.java:376: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  12.282 s,0
[javac] File262.java:837: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  11.081 s,0
[javac] File184.java:242: error: incompatible types: double cannot be converted to int,1
[javac] File282.java:605: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File46.java:588: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Finished at: 2025-04-06T20:13:05+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/13.49/pkg-12.79.jar,0
[javac] File266.java:157: error: illegal start of type,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/2.90/pkg-13.16.jar,0
[INFO] Finished at: 2025-04-01T12:12:58+05:30,0
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/15.24/pkg-13.15.jar,0
[javac] File424.java:731: error: cannot access class com.example.Helper,1
[javac] File71.java:384: error: cannot access class com.example.Helper,1
[javac] File202.java:666: error: illegal start of type,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/17.59/pkg-4.48.jar,0
[javac] File386.java:199: error: package org.unknown does not exist,1
[INFO] Total time:  18.513 s,0
[javac] File487.java:354: error: cannot find symbol,1
[INFO] Finished at: 2025-04-06T01:51:01+05:30,0
[INFO] Finished at: 2025-04-08T20:04:52+05:30,0
[javac] File369.java:908: error: cannot access class com.example.Helper,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/6.31/pkg-13.62.jar,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/9.40/pkg-2.9.jar,0
[javac] File140.java:9: error: package org.unknown does not exist,1
[javac] File93.java:86: error: illegal start of type,1
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/6.90/pkg-19.46.jar,0
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/13.32/pkg-16.8.jar,0
[javac] File108.java:645: error: cannot find symbol,1
[javac] File143.java:691: error: cannot find symbol,1
[javac] File114.java:200: error: cannot find symbol,1
[ERROR] Build failed with exit code 205,1
[javac] File231.java:778: error: package org.unknown does not exist,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/17.40/pkg-17.20.jar,0
[INFO] Finished at: 2025-04-14T13:37:18+05:30,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/18.32/pkg-16.48.jar,0
[javac] File145.java:154: error: cannot find symbol,1
[javac] File25.java:893: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File402.java:636: error: incompatible types: double cannot be converted to int,1
[javac] File117.java:99: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-13T23:35:35+05:30,0
[ERROR] Build failed with exit code 101,1
[javac] File422.java:609: error: package org.unknown does not exist,1
[javac] File275.java:978: error: cannot find symbol,1
[javac] File115.java:842: error: illegal start of type,1
[javac] File16.java:96: error: incompatible types: double cannot be converted to int,1
[javac] File168.java:787: error: missing return statement,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/19.87/pkg-9.51.jar,0
[javac] File267.java:759: error: package org.unknown does not exist,1
[javac] File455.java:885: error: incompatible types: double cannot be converted to int,1
[javac] File194.java:757: error: cannot find symbol,1
[INFO] Finished at: 2025-04-06T11:31:57+05:30,0
[INFO] Total time:  16.935 s,0
[javac] File483.java:975: error: illegal start of type,1
[javac] File13.java:306: error: illegal start of type,1
[javac] File172.java:304: error: missing return statement,1
[INFO] Finished at: 2025-04-09T06:59:37+05:30,0
[javac] File86.java:287: error: package org.unknown does not exist,1
[javac] File60.java:941: error: package org.unknown does not exist,1
[INFO] Total time:  7.658 s,0
[javac] File288.java:87: error: missing return statement,1
[INFO] Total time:  9.214 s,0
[INFO] Finished at: 2025-04-02T13:59:14+05:30,0
[javac] File464.java:554: error: missing return statement,1
[INFO] Total time:  13.664 s,0
[INFO] Finished at: 2025-04-10T08:02:42+05:30,0
[javac] File235.java:756: error: cannot find symbol,1
[ERROR] Build failed with exit code 83,1
[javac] File483.java:157: error: missing return statement,1
[INFO] Total time:  16.973 s,0
[javac] File444.java:704: error: missing return statement,1
[INFO] Finished at: 2025-04-09T16:20:18+05:30,0
[javac] File79.java:586: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File236.java:499: error: cannot access class com.example.Helper,1
[javac] File479.java:633: error: missing return statement,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/5.86/pkg-13.86.jar,0
[ERROR] Build failed with exit code 10,1
[javac] File419.java:229: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  7.944 s,0
[javac] File236.java:325: error: incompatible types: double cannot be converted to int,1
[javac] File495.java:851: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File147.java:408: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Finished at: 2025-04-09T12:46:31+05:30,0
[ERROR] Failed to execute goal gradle-some-plugin:1.2.3:task: unreported exception IOException must be caught or declared to be thrown,1
[javac] File191.java:202: error: illegal start of type,1
[javac] File447.java:893: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-15T13:08:06+05:30,0
[javac] File64.java:54: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  9.169 s,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/4.56/pkg-8.97.jar,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/20.21/pkg-11.35.jar,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/7.89/pkg-8.21.jar,0
[javac] File197.java:516: error: package org.unknown does not exist,1
[javac] File217.java:585: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Finished at: 2025-04-08T06:58:10+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/1.64/pkg-12.19.jar,0
[javac] File26.java:762: error: incompatible types: double cannot be converted to int,1
[INFO] Total time:  5.783 s,0
[javac] File360.java:205: error: cannot access class com.example.Helper,1
[ERROR] Build failed with exit code 40,1
[javac] File110.java:983: error: incompatible types: double cannot be converted to int,1
[INFO] Total time:  5.854 s,0
[INFO] Finished at: 2025-04-02T15:41:06+05:30,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/10.20/pkg-12.8.jar,0
[INFO] Finished at: 2025-04-06T07:32:54+05:30,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/5.90/pkg-13.32.jar,0
[javac] File394.java:222: error: cannot access class com.example.Helper,1
[INFO] Finished at: 2025-04-03T05:39:28+05:30,0
[javac] File138.java:822: error: cannot find symbol,1
[javac] File40.java:520: error: incompatible types: double cannot be converted to int,1
[javac] File66.java:176: error: missing return statement,1
[javac] File320.java:714: error: cannot access class com.example.Helper,1
[INFO] Total time:  18.451 s,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/10.87/pkg-11.39.jar,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/12.40/pkg-9.62.jar,0
[javac] File88.java:577: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Finished at: 2025-04-03T06:30:44+05:30,0
[ERROR] Build failed with exit code 92,1
[javac] File1.java:536: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File403.java:173: error: missing return statement,1
[javac] File330.java:290: error: illegal start of type,1
[javac] File108.java:687: error: missing return statement,1
[INFO] Finished at: 2025-04-04T12:11:51+05:30,0
[javac] File23.java:292: error: cannot access class com.example.Helper,1
[INFO] Total time:  2.035 s,0
[INFO] Finished at: 2025-04-08T16:02:55+05:30,0
[javac] File16.java:410: error: missing return statement,1
[javac] File298.java:906: error: illegal start of type,1
[INFO] Total time:  7.023 s,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/16.85/pkg-3.22.jar,0
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/14.91/pkg-7.27.jar,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/17.53/pkg-17.30.jar,0
[javac] File377.java:119: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File141.java:197: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-09T05:56:57+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/5.81/pkg-3.36.jar,0
[javac] File438.java:585: error: missing return statement,1
[javac] File53.java:558: error: illegal start of type,1
[INFO] Total time:  6.287 s,0
[javac] File294.java:210: error: cannot access class com.example.Helper,1
[INFO] Total time:  3.929 s,0
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile: cannot access class com.example.Helper,1
[javac] File405.java:450: error: incompatible types: double cannot be converted to int,1
[javac] File437.java:126: error: package org.unknown does not exist,1
[javac] File134.java:367: error: package org.unknown does not exist,1
[javac] File357.java:390: error: illegal start of type,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/15.36/pkg-18.75.jar,0
[javac] File454.java:620: error: cannot access class com.example.Helper,1
[javac] File118.java:583: error: missing return statement,1
[INFO] Finished at: 2025-04-08T22:43:16+05:30,0
[javac] File351.java:953: error: cannot find symbol,1
[javac] File211.java:930: error: cannot access class com.example.Helper,1
[ERROR] Build failed with exit code 194,1
[INFO] Total time:  15.647 s,0
[INFO] Total time:  16.367 s,0
[INFO] Total time:  10.435 s,0
[javac] File448.java:738: error: incompatible types: double cannot be converted to int,1
[ERROR] Build failed with exit code 145,1
[javac] File426.java:276: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-13T21:55:39+05:30,0
[INFO] Total time:  14.547 s,0
[javac] File458.java:32: error: incompatible types: double cannot be converted to int,1
[javac] File469.java:527: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-04T13:18:11+05:30,0
[INFO] Finished at: 2025-04-15T23:35:55+05:30,0
[INFO] Finished at: 2025-04-09T03:01:42+05:30,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/2.99/pkg-17.47.jar,0
[javac] File113.java:480: error: incompatible types: double cannot be converted to int,1
[javac] File241.java:224: error: missing return statement,1
[javac] File112.java:165: error: missing return statement,1
[INFO] Finished at: 2025-04-01T05:01:37+05:30,0
[javac] File174.java:440: error: package org.unknown does not exist,1
[javac] File232.java:413: error: package org.unknown does not exist,1
[javac] File66.java:510: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File199.java:702: error: missing return statement,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/7.64/pkg-15.41.jar,0
[INFO] Total time:  19.387 s,0
[ERROR] Build failed with exit code 122,1
[javac] File206.java:437: error: incompatible types: double cannot be converted to int,1
[INFO] Total time:  15.818 s,0
[javac] File251.java:60: error: cannot access class com.example.Helper,1
[ERROR] Failed to execute goal org.eclipse.jetty:jetty-maven-plugin:9.4.0:run: cannot find symbol,1
[INFO] Total time:  5.877 s,0
[INFO] Finished at: 2025-04-06T20:25:31+05:30,0
[javac] File266.java:198: error: cannot find symbol,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/2.59/pkg-3.12.jar,0
[javac] File324.java:992: error: cannot access class com.example.Helper,1
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/4.98/pkg-17.22.jar,0
[INFO] Total time:  15.175 s,0
[javac] File302.java:432: error: cannot access class com.example.Helper,1
[javac] File372.java:923: error: package org.unknown does not exist,1
[javac] File156.java:262: error: missing return statement,1
[javac] File207.java:350: error: cannot access class com.example.Helper,1
[INFO] Total time:  14.461 s,0
[javac] File304.java:537: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/1.49/pkg-16.76.jar,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/9.45/pkg-7.38.jar,0
[javac] File161.java:46: error: incompatible types: double cannot be converted to int,1
[javac] File295.java:98: error: missing return statement,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/16.46/pkg-19.55.jar,0
[javac] File465.java:718: error: missing return statement,1
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/10.2/pkg-19.25.jar,0
[INFO] Total time:  19.078 s,0
[INFO] Finished at: 2025-04-15T13:59:46+05:30,0
[INFO] Total time:  6.878 s,0
[INFO] Finished at: 2025-04-06T08:25:03+05:30,0
"Exception in thread ""main"" java.lang.ClassCastException: error during processing",1
[javac] File411.java:868: error: cannot find symbol,1
[ERROR] Build failed with exit code 150,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/1.30/pkg-16.59.jar,0
[javac] File165.java:657: error: cannot access class com.example.Helper,1
[javac] File336.java:927: error: illegal start of type,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/11.57/pkg-19.24.jar,0
[javac] File325.java:515: error: missing return statement,1
[javac] File186.java:744: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  0.691 s,0
[javac] File37.java:944: error: cannot access class com.example.Helper,1
[INFO] Total time:  17.269 s,0
[javac] File361.java:995: error: missing return statement,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/4.95/pkg-10.28.jar,0
[javac] File265.java:784: error: incompatible types: double cannot be converted to int,1
[INFO] Finished at: 2025-04-10T11:26:45+05:30,0
[javac] File368.java:826: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-14T21:02:46+05:30,0
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/8.23/pkg-1.72.jar,0
[javac] File16.java:779: error: missing return statement,1
[INFO] Total time:  12.149 s,0
[javac] File297.java:451: error: package org.unknown does not exist,1
[javac] File405.java:73: error: package org.unknown does not exist,1
[javac] File137.java:228: error: missing return statement,1
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile: illegal start of type,1
[INFO] Total time:  7.789 s,0
[javac] File456.java:878: error: incompatible types: double cannot be converted to int,1
[javac] File280.java:11: error: missing return statement,1
[INFO] Total time:  4.263 s,0
[INFO] Finished at: 2025-04-17T19:56:16+05:30,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/6.5/pkg-4.28.jar,0
[javac] File478.java:505: error: cannot access class com.example.Helper,1
[INFO] Total time:  7.829 s,0
[javac] File374.java:468: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File486.java:862: error: illegal start of type,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/14.90/pkg-19.3.jar,0
